timestamp,kernel,power_watts,utilization,sm_clock,mem_clock,temperature,pstate,memory_utilization,memory_used_MiB,memory_total_MiB,memory_free_MiB,memory_bandwidth_pct
31.667046546936035,Strategy1,16.72,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
31.938823699951172,Strategy1,15.99,0.0,300.0,7000.0,40.0,P0,0.0,118.0,8192.0,7670.0,0.0
32.323282957077026,Strategy1,52.63,0.0,1470.0,6801.0,42.0,P2,0.0,360.0,8192.0,7428.0,0.0
32.55858254432678,Strategy1,77.66,0.0,1950.0,6801.0,44.0,P2,20.0,360.0,8192.0,7428.0,20.0
32.795658349990845,Strategy1,116.84,38.0,1950.0,6801.0,46.0,P2,20.0,360.0,8192.0,7428.0,20.0
33.0283145904541,Strategy1,118.3,38.0,1950.0,6801.0,46.0,P2,20.0,360.0,8192.0,7428.0,20.0
33.27132487297058,Strategy1,118.5,38.0,1950.0,6801.0,46.0,P2,20.0,360.0,8192.0,7428.0,20.0
33.503854751586914,Strategy1,117.39,38.0,1950.0,6801.0,47.0,P2,20.0,360.0,8192.0,7428.0,20.0
33.73668622970581,Strategy1,118.94,100.0,1950.0,6801.0,47.0,P2,58.0,360.0,8192.0,7428.0,58.0
33.96761345863342,Strategy1,118.07,100.0,1950.0,6801.0,47.0,P2,58.0,360.0,8192.0,7428.0,58.0
34.21791911125183,Strategy1,117.79,100.0,1935.0,6801.0,47.0,P2,58.0,360.0,8192.0,7428.0,58.0
34.44988822937012,Strategy1,117.85,100.0,1935.0,6801.0,47.0,P2,58.0,360.0,8192.0,7428.0,58.0
34.683037757873535,Strategy1,118.98,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
34.91631579399109,Strategy1,118.61,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
35.15009951591492,Strategy1,118.67,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
35.3805730342865,Strategy1,118.0,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
35.61248183250427,Strategy1,118.18,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
35.84279918670654,Strategy1,118.3,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
36.07364511489868,Strategy1,118.44,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
36.305623292922974,Strategy1,118.52,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
36.59762454032898,Strategy1,118.23,100.0,1935.0,6801.0,48.0,P2,58.0,360.0,8192.0,7428.0,58.0
36.83330416679382,Strategy1,119.01,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
37.06544065475464,Strategy1,118.82,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
37.29925203323364,Strategy1,118.09,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
37.5325767993927,Strategy1,118.02,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
37.76659417152405,Strategy1,119.05,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
37.99762439727783,Strategy1,118.54,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
38.23019886016846,Strategy1,118.45,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
38.46339964866638,Strategy1,118.58,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
38.695027351379395,Strategy1,118.51,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
38.9278450012207,Strategy1,118.91,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
39.1619188785553,Strategy1,118.88,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
39.393903732299805,Strategy1,119.64,100.0,1935.0,6801.0,50.0,P2,58.0,360.0,8192.0,7428.0,58.0
39.62657189369202,Strategy1,118.74,100.0,1935.0,6801.0,50.0,P2,58.0,360.0,8192.0,7428.0,58.0
39.85994839668274,Strategy1,120.15,100.0,1935.0,6801.0,49.0,P2,58.0,360.0,8192.0,7428.0,58.0
40.092193603515625,Strategy1,118.81,100.0,1935.0,6801.0,50.0,P2,58.0,360.0,8192.0,7428.0,58.0
40.32418751716614,Strategy1,119.07,100.0,1935.0,6801.0,50.0,P2,58.0,360.0,8192.0,7428.0,58.0
40.562093019485474,Strategy1,70.69,100.0,1935.0,7000.0,47.0,P0,58.0,101.0,8192.0,7687.0,58.0
40.77942657470703,Strategy1,65.55,77.0,1935.0,7000.0,46.0,P0,44.0,101.0,8192.0,7687.0,44.0
